"key","species","family","recordedBy","recordNumber","eventDate","year","catalogNumber","institutionCode","collectionCode","collector","inst_norm","rn"
"1930346350","Hibiscadelphus hualalaiensis","Malvaceae","J. K. Baker","s.n.","1975-11-24",1975,"37519","NY","NY","Baker","NY","sn"
"1928617827","Hibiscadelphus hualalaiensis","Malvaceae","J. K. Baker","s.n.","1975-12-06",1975,"37520","NY","NY","Baker","NY","sn"
"2382928419","Peperomia cookiana","Piperaceae","O. Degener","3897","1930-04-15",1930,"4125903","NY","NY","Degener","NY","3897"
"2382919373","Peperomia cookiana","Piperaceae","O. Degener","3897","1930-04-15",1930,"4125904","NY","NY","Degener","NY","3897"
"2382927835","Peperomia cookiana","Piperaceae","H. Wiebke","3789","1929-07-09",1929,"4125908","NY","NY","Wiebke","NY","3789"
"2382913489","Peperomia tetraphylla","Piperaceae","O. Degener","3899","1930-04-15",1930,"4127450","NY","NY","Degener","NY","3899"
"2562918050","Alyxia stellata","Apocynaceae","O. Degener","3915","1930-04-15",1930,"4160540","NY","NY","Degener","NY","3915"
"2854375746","Acacia koa","Fabaceae","Maslin, B.R.","5578","1984-06-23",1984,"PERTH 1529846","PERTH","PERTH","Maslin","PERTH","5578"
"2854435885","Acacia koa","Fabaceae","Maslin, B.R.","5577","1984-06-23",1984,"PERTH 1529854","PERTH","PERTH","Maslin","PERTH","5577"
"2854356452","Acacia koa","Fabaceae","Maslin, B.R.","5577","1984-06-23",1984,"PERTH 1529862","PERTH","PERTH","Maslin","PERTH","5577"
"2854334017","Acacia koa","Fabaceae","Maslin, B.R.","5576","1984-06-23",1984,"PERTH 1529870","PERTH","PERTH","Maslin","PERTH","5576"
"2610081066","Geranium carolinianum","Geraniaceae","Francis R. Fosberg","53688",,,"RSA0148324","RSA","RSA","Fosberg","RSA","53688"
"3949998486","Charpentiera obovata","Amaranthaceae","Sherwin Carlquist","2057","1966-07-24",1966,"RSA0445765","RSA","VascularPlants","Carlquist","RSA","2057"
"3968555430","Myrsine lessertiana","Primulaceae","Sherwin Carlquist","2406","1967-03-16",1967,"RSA0460761","RSA","VascularPlants","Carlquist","RSA","2406"
"3968554907","Ceodes umbellifera","Nyctaginaceae","Sherwin Carlquist","2056","1966-07-24",1966,"RSA0468092","RSA","VascularPlants","Carlquist","RSA","2056"
"4010615009","Sophora chrysophylla","Fabaceae","Sherwin Carlquist","2410","1967-03-16",1967,"RSA0483546","RSA","VascularPlants","Carlquist","RSA","2410"
"1322680531","Wikstroemia sandwicensis","Thymelaeaceae","J. Davis & State ESP team","187","1980-01-08",1980,"US 3413204","US","US","Davis","US","187"
"1320620727","Pittosporum hosmeri","Pittosporaceae","G. Allan","349","1999-04-12",1999,"US 3686563","US","US","Allan","US","349"
"1322812987","Pittosporum hosmeri","Pittosporaceae","G. Allan","347","1999-04-10",1999,"US 3686565","US","US","Allan","US","347"
"4167908355","Metrosideros polymorpha","Myrtaceae","D. Percy","Hi34","2003-08-21",2003,"US 3759851","US","US","Percy","US","hi34"
"4167896353","Metrosideros polymorpha","Myrtaceae","D. Percy","Hi31","2003-08-19",2003,"US 3759852","US","US","Percy","US","hi31"
"4167896350","Metrosideros polymorpha","Myrtaceae","D. Percy","Hi35","2003-08-21",2003,"US 3759853","US","US","Percy","US","hi35"
"2237844513","Nuttallanthus canadensis","Plantaginaceae","Sandy Long","1173","2001-02-23",2001,"UTC00239556","USU","UTC","Long","USU","1173"
"2237844457","Hypochaeris radicata","Asteraceae","Sandy Long","1172","2001-02-23",2001,"UTC00239558","USU","UTC","Long","USU","1172"
"1986978733","Vaccinium reticulatum","Ericaceae","Sandy Long","1167","2001-02-23",2001,"UTC00239560","USU","UTC","Long","USU","1167"
"1830975118","Sophora chrysophylla","Fabaceae","Kiehn,M. & Kiehn,M. 020402-3","020402-3","2002-04-02",2002,"0027491","WU","Herbarium WU","Kiehn","WU","0204023"
"5004361242","Zanthoxylum dipetalum","Rutaceae","Kiehn,M. & Pratt,M.K. MK-900211-4/2","MK-900211-4/2","2009-02-11",2009,"0140891","WU","Herbarium WU","Kiehn","WU","mk90021142"
