key,scientificName,family,recordedBy,recordNumber,eventDate,verbatimEventDate,countryCode,stateProvince,county,locality,verbatimLocality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,verbatimElevation,habitat,reproductiveCondition,occurrenceRemarks,fieldNotes,identifiedBy,dateIdentified,typeStatus,institutionCode,collectionCode,catalogNumber,preparations
1897771360,Metrosideros albiflora Sol. ex Gaertn.,Myrtaceae,R & E F Melville|W M Hamilton,,1962-03-09,,NZ,,,,"New Zealand, Coromandel Ecological Region, Little Barrier Island, Summit Ridge",-36.2,175.083333,,,,,,,,,,,AK,AK,AK155981,
3751282317,Metrosideros diffusa (G.Forst.) Sm.,Myrtaceae,H Campbell,LNI4/4,2017-08-01,1 Aug 2017,NZ,Wellington Land District,Tararua,,"Te Arapiki o Tawhaki Loop Track, Pukaha Mount Bruce, Wellington",-40.73155,175.6343,,425.0,425m,"Early seral scrub. Associated species: Brachyglottis repanda, Coprosma spp., Knightia excelsa. Habitat modification: Hervesting. Land us: Conservation/Scenic Reserve. Landform: Hill. Geology: Greywacke. Soil olour and texture: Rocky. Aspect: W. Slope: Undulating. Regenerating native scrub post logging of radiata pine/Douglas fir plantation.",,,,,,,CHR,CHR,CHR 653172,
3751284320,Metrosideros diffusa (G.Forst.) Sm.,Myrtaceae,H Campbell,LNI3/4,2017-08-01,1 Aug 2017,NZ,Wellington Land District,Tararua,,"Te Arapiki o Tawhaki Loop Track, Pukaha Mount Bruce, Wellington",-40.72231,175.64242,,372.0,372m,"Unmodified rata forest. Habitat modification: Fire, possum recovery. Land use: Conservation/ Scenic Reserve. Landform: Hillslope. Geology: Greywacke. Aspect:W. Slope: Undulating.",,,,,,,CHR,CHR,CHR 653154,
4439094577,Metrosideros collina (Forst.) A.Gray,Myrtaceae,G. M. Plunkett,4051,2017-08-02,2 Aug 2017,VU,Tafea,Aneityum Area Council,"Aneityum Island. Nijeptoho River area, 2 km N of Anecro and 6.3 km N of Umej village.",,-20.19033,169.85169,,234.0,768 ft,Growing in dense rainforest.,,5-Dicot,,,,,NY,NY,04991910,sheet
5110683561,Metrosideros diffusa (G.Forst.) Sm.,Myrtaceae,"H. Campbell, DOC",LNI3/4,2017-08-01,,NZ,,,"Te Arapiki o Tawhaki Loop Track, Pukaha Mount Bruce, Wellington","Te Arapiki o Tawhaki Loop Track, Pukaha Mount Bruce, Wellington",-40.72231,175.64242,,,372m,"Unmodified rata forest. Habitat modification: Fire, possum recovery. Land use: Conservation/Scenic Reserve. Land form: Hillslope. Geology: Greywacke. Aspect: W. Slope: Undulating.",,,,,,,MPN,MPN,MPN50599,
5110729075,Metrosideros diffusa (G.Forst.) Sm.,Myrtaceae,"H. Campbell, DOC",LNI4/4,2017-08-01,,NZ,,,"Te Arapiki o Tawhaki Loop Track, Pukaha Mount Bruce, Wellington","Te Arapiki o Tawhaki Loop Track, Pukaha Mount Bruce, Wellington",-40.73155,175.6343,,,425m,"Early seral scrub. Associated species: Brachyglottis repanda, Coprosma spp., Knightia excelsa. Habitat modification: Harvesting. Land use: Conservation/Scenic Reserve. Land form: Hill. Geology: Greywacke. Soil colour and texture: Rocky. Aspect: W. Slope: Undulating. Regenerating native scrub post logging of radiata pine/Douglas fir plantation.",,,,,,,MPN,MPN,MPN50597,
5110729900,Metrosideros diffusa (G.Forst.) Sm.,Myrtaceae,"H. Campbell, DOC",LNI2/4,2017-08-01,,NZ,,,"Forestry Track, Pukaha Mount Bruce, Wellington","Forestry Track, Pukaha Mount Bruce, Wellington",-40.76067,175.64043,,,529m,Podocarp regenerating forest. Habitat modification: Logged 50 years ago. Land use: Conservation/Scenic Reserve. Land form: Hillslope. Geology: Greywacke. Soil colour and texture: Rocky. Aspect: W. Slope: Undulating.,,,,,,,MPN,MPN,MPN50598,
5110738511,Metrosideros fulgens Sol. ex Gaertn.,Myrtaceae,"H. Campbell, DOC",LNI1/4,2017-08-01,,NZ,,,"Forestry Track, Pukaha Mt Bruce, Wellington, New Zealand","Forestry Track, Pukaha Mt Bruce, Wellington, New Zealand",-40.763324,175.639141,,,419m,Habitat: podocarp regenerating forest. Habitat modification: logged 50 years ago. Land use: conservation. Land form: hill slope. Geology: greywacke. Soil: rocky. Aspect: West. Slope: undulating.,,,,,,,MPN,MPN,MPN50855,
5110739124,Metrosideros albiflora Sol. ex Gaertn.,Myrtaceae,N. Short,s.n.,2017-08-12,,NZ,,,"Wedde Wood, Corner of Jervois Rd and Bells Rd, Linton. Situated 11km south-west of Palmerston North","Wedde Wood, Corner of Jervois Rd and Bells Rd, Linton. Situated 11km south-west of Palmerston North",-40.4136,175.5919,,,53m,,,,,J. Tate,2017-10-20T00:00:00,,MPN,MPN,MPN51149,
5956161788,Metrosideros polymorpha Gaudich.,Myrtaceae,"Wood, K.R.; Statler, C.; Brimhall, M.",17491,2017-08-02,2-Aug-17,US,Hawaii,,"Hanalei District. Lumahai., ridge climbing to west side along proposed ""middle"" fence-line.",,,,,533.0,533 m,"Metrosideros-Dicranopteris lowland wet ridge, 70-90% open forest of Metrosideros polymophia glaberrina with scattered individuals of Antidesma platyphylla, Syzygium sandwicensis, Myrsine lessertiana, Ilex anomala, Bobea elatior, Scaevola procera,",,"Tree, 10 meters tall, bark gray, flaking, in flower and fruit, stamens red, dominant.",,,,NotAType,BISH,,778536,
